objArrayNum,objNum,isGood,ImageFile,cy.RNA,cy.threshold,tmr.RNA,tmr.threshold,GAPDH.RNA,GAPDH.threshold,alexa.RNA,alexa.threshold
162,2,true,cy200.tif,10,550,906,650,920,140,8,700
162,3,true,cy200.tif,94,550,478,650,438,140,17,700
165,1,true,cy203.tif,13,550,380,650,206,140,4,700
165,2,true,cy203.tif,74,550,384,650,495,140,5,700
165,3,true,cy203.tif,168,550,358,650,571,140,2,700
167,1,true,cy205.tif,193,550,494,650,214,140,2,700
168,1,true,cy206.tif,37,550,547,650,523,140,4,700
168,2,true,cy206.tif,96,550,491,650,404,140,5,700
175,1,true,cy213.tif,3,550,855,650,538,140,10,700
175,2,true,cy213.tif,60,550,492,650,567,140,0,700
176,1,true,cy214.tif,17,550,616,650,384,140,5,700
176,2,true,cy214.tif,31,550,284,650,422,140,5,700
176,3,true,cy214.tif,40,550,491,650,654,140,6,700
176,4,true,cy214.tif,23,550,416,650,647,140,3,700
178,1,true,cy216.tif,22,550,353,650,638,140,2,700
178,2,true,cy216.tif,40,550,859,650,777,140,4,700
178,3,true,cy216.tif,5,550,372,650,377,140,3,700
179,1,true,cy217.tif,2,550,279,650,711,140,9,700
181,1,true,cy219.tif,14,550,438,650,740,140,3,700
181,2,true,cy219.tif,4,550,522,650,527,140,0,700
185,1,true,cy223.tif,2,550,418,650,559,140,3,700
185,2,true,cy223.tif,29,550,351,650,343,140,4,700
185,3,true,cy223.tif,12,550,1042,650,1233,140,3,700
186,1,true,cy224.tif,60,550,656,650,490,140,9,700
186,2,true,cy224.tif,185,550,700,650,254,140,5,700
186,3,true,cy224.tif,53,550,371,650,503,140,2,700
187,1,true,cy226.tif,112,550,682,650,392,140,8,700
187,2,true,cy226.tif,2,550,61,650,452,140,1,700
188,1,true,cy227.tif,0,550,318,650,354,140,1,700
193,1,true,cy232.tif,52,550,528,650,399,140,3,700
193,2,true,cy232.tif,66,550,380,650,517,140,0,700
193,3,true,cy232.tif,4,550,499,650,579,140,1,700
195,1,true,cy234.tif,24,550,432,650,342,140,5,700
195,2,true,cy234.tif,57,550,439,650,193,140,3,700
195,3,true,cy234.tif,26,550,189,650,229,140,5,700
199,1,true,cy238.tif,5,550,145,650,525,140,5,700
199,2,true,cy238.tif,213,550,382,650,372,140,0,700
200,1,true,cy239.tif,81,550,390,650,397,140,1,700
200,2,true,cy239.tif,17,550,326,650,740,140,2,700
201,1,true,cy240.tif,5,550,746,650,636,140,5,700
202,1,true,cy241.tif,38,550,164,650,335,140,2,700
203,1,true,cy242.tif,336,550,633,650,714,140,0,700
203,2,true,cy242.tif,39,550,618,650,741,140,1,700
203,3,true,cy242.tif,6,550,437,650,549,140,1,700
203,4,true,cy242.tif,135,550,264,650,167,140,1,700
203,5,true,cy242.tif,121,550,230,650,166,140,6,700
205,1,true,cy244.tif,2,550,315,650,377,140,6,700
211,1,true,cy250.tif,1,550,505,650,519,140,2,700
211,2,true,cy250.tif,98,550,335,650,410,140,4,700
211,3,true,cy250.tif,4,550,297,650,278,140,4,700
211,4,true,cy250.tif,25,550,328,650,639,140,1,700
212,1,true,cy251.tif,4,550,859,650,578,140,6,700
212,2,true,cy251.tif,4,550,497,650,339,140,4,700
213,1,false,cy252.tif,20,550,395,650,441,140,12,700
214,1,true,cy253.tif,181,550,1970,650,653,140,11,700
214,2,true,cy253.tif,9,550,329,650,524,140,2,700
216,1,true,cy255.tif,79,550,856,650,542,140,19,700
217,1,true,cy256.tif,64,550,594,650,515,140,1,700
217,2,true,cy256.tif,44,550,522,650,321,140,0,700
217,3,true,cy256.tif,12,550,566,650,469,140,3,700
220,1,true,cy260.tif,32,550,653,650,577,140,5,700
220,2,true,cy260.tif,0,550,271,650,648,140,7,700
221,1,true,cy261.tif,3,550,703,650,399,140,2,700
221,2,true,cy261.tif,0,550,201,650,291,140,0,700
221,3,true,cy261.tif,3,550,237,650,489,140,2,700
222,1,true,cy262.tif,3,550,159,650,358,140,4,700
222,2,true,cy262.tif,41,550,257,650,421,140,5,700
223,1,true,cy263.tif,2,550,461,650,300,140,1,700
225,1,true,cy265.tif,0,550,352,650,507,140,3,700
225,2,true,cy265.tif,404,550,1263,650,885,140,5,700
226,1,true,cy266.tif,88,550,792,650,228,140,2,700
229,1,true,cy269.tif,280,550,446,650,256,140,3,700
231,1,true,cy271.tif,2,550,180,650,242,140,12,700
231,2,true,cy271.tif,208,550,381,650,314,140,0,700
231,3,true,cy271.tif,273,550,554,650,453,140,0,700
232,1,true,cy272.tif,3,550,2,650,22,140,0,700
233,1,true,cy273.tif,20,550,901,650,523,140,4,700
233,2,true,cy273.tif,1,550,343,650,338,140,3,700
236,1,true,cy276.tif,248,550,770,650,590,140,2,700
236,2,true,cy276.tif,31,550,832,650,492,140,4,700
252,1,true,cy293.tif,251,550,443,650,407,140,0,700
252,2,true,cy293.tif,27,550,221,650,272,140,1,700
252,3,true,cy293.tif,37,550,395,650,512,140,4,700
254,1,true,cy295.tif,2,550,613,650,1084,140,6,700
254,2,true,cy295.tif,72,550,976,650,516,140,12,700
254,3,true,cy295.tif,8,550,1260,650,424,140,6,700
256,1,true,cy297.tif,76,550,608,650,505,140,8,700
260,1,true,cy301.tif,290,550,494,650,418,140,2,700
260,2,true,cy301.tif,108,550,516,650,353,140,13,700
260,3,true,cy301.tif,0,550,193,650,362,140,1,700
260,4,true,cy301.tif,7,550,258,650,376,140,0,700
262,1,true,cy303.tif,7,550,459,650,414,140,1,700
262,2,true,cy303.tif,205,550,447,650,187,140,6,700
283,1,true,cy325.tif,68,550,415,650,440,140,1,700
286,1,true,cy328.tif,73,550,383,650,375,140,6,700
286,2,true,cy328.tif,20,550,584,650,393,140,8,700
286,3,true,cy328.tif,39,550,419,650,614,140,9,700
287,1,true,cy329.tif,3,550,7,650,65,140,0,700
287,2,true,cy329.tif,11,550,594,650,365,140,2,700
288,1,true,cy330.tif,2,550,232,650,279,140,9,700
292,1,true,cy334.tif,26,550,566,650,344,140,2,700
292,2,true,cy334.tif,0,550,49,650,0,185.9185,0,700
292,3,true,cy334.tif,0,550,21,650,28,141.3579,0,700
292,4,true,cy334.tif,300,550,1074,650,435,140,7,700
292,5,true,cy334.tif,44,550,352,650,322,140,7,700
292,6,true,cy334.tif,1,550,2,650,31,140,2,700
292,7,true,cy334.tif,9,550,458,650,345,140,1,700
293,1,true,cy335.tif,13,550,263,650,160,140,1,700
293,2,true,cy335.tif,85,550,662,650,323,140,3,700
293,3,true,cy335.tif,52,550,200,650,234,140,2,700
295,1,true,cy337.tif,21,550,664,650,476,140,22,700
