"","experimentid","actual.rho","lower.rho","upper.rho","X","Cell.Type","Clone","Substrate","Loading","Media","Donor","Days.CM","Passage","Pre.Fix.Stain","Post.Fix.Stain","Purpose","Date.FISHed","Date.Imaged","ImageObject.","Folder","Good.","Data.Processed.","FISHed.Processed.By","Notes","Treatment.Type","Treatment.Length","GFP.dye","GFP.type","GFP.target","alexa.dye","alexa.target","TMR.dye","TMR.target","cy.dye","cy.target","nir.dye","nir.target","dapi.dye","dapi.target"
"84","G37",-0.0289739006082103,-0.210877834128431,0.154165567710719,75,"chondrocyte","het","glass","static","Basal","6",NA,"7","","","chondrocyte dedifferentiation core","2013-11-21","2013-11-22","","","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"85","G38",0.163232845310131,-0.104465620718961,0.33911754098626,76,"chondrocyte","het","glass","static","Basal","4",NA,"9","","","chondrocyte dedifferentiation core","2013-12-12","2013-12-13","","","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"86","G39",0.670120396626545,0.346855303576598,0.828596277273731,77,"chondrocyte","het","glass","static","Basal","6",NA,"9","","","chondrocyte dedifferentiation core","2013-12-12","2013-12-13","","","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"87","G4",-0.104112918451708,-0.198169460849897,0.00473641160883266,27,"MSC","het","glass","static","CM-","",0,"","","","glass and scaffold direct comparison","2013-08-20","2013-08-21","","/2013-08-21","y","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"88","G42",0.288026113447006,0.102983809238609,0.467020270823218,80,"chondrocyte","het","glass","static","Basal","1",NA,"1","","","chondrocyte dedifferentiation core","2014-01-27","2014-01-28","","","","y CMM","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"89","G43",0.379489298859482,0.254590582948368,0.498880317008431,81,"chondrocyte","het","glass","static","Basal","4B",NA,"1","","","chondrocyte dedifferentiation core","2014-01-27","2014-01-28","","","","Y CMM","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"90","G44",0.37039452082313,0.143362340988152,0.553120842092316,82,"chondrocyte","het","glass","static","Basal","1",NA,"3","","","chondrocyte dedifferentiation core","2014-03-18","2014-03-19","","","","y CMM","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"91","G45",0.343031285763476,0.0699781011413976,0.559319341907113,83,"chondrocyte","het","glass","static","Basal","4B",NA,"3","","","chondrocyte dedifferentiation core","2014-03-18","2014-03-19","","","","y CMM","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"92","G46",0.340130018120037,0.0388702149370408,0.598112498534212,84,"chondrocyte","het","glass","static","Basal","1",NA,"5","","","chondrocyte dedifferentiation core","2014-02-17","2014-02-18","","","ish","y CMM","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"93","G47",0.534412629574308,0.109358285322253,0.76479156559745,85,"chondrocyte","het","glass","static","Basal","4B",NA,"5","","","chondrocyte dedifferentiation core","2014-02-17","2014-02-18","","","ish","Y CMM","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"94","G48",0.556843394472175,0.392467763771815,0.723027451032858,86,"chondrocyte","het","glass","static","Basal","1",NA,"7","","","chondrocyte dedifferentiation core","2014-03-24","2014-03-25","","","ish","y CMM","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"95","G49",0.16940390582318,-0.0404600116192491,0.371905286337149,87,"chondrocyte","het","glass","static","Basal","4B",NA,"7","","","chondrocyte dedifferentiation core","2014-03-24","2014-03-25","","","ish","Y CMM","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"96","G5",0.132594176727974,-0.0470260930408226,0.315908631334674,28,"MSC","het","glass","static","CM+","",0,"","","","glass and scaffold direct comparison","2013-08-20","2013-08-22","","/2013-08-22","y","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"97","G50",0.286932144710021,0.109734532460165,0.466721658892201,99,"chondrocyte","het","glass","static","Basal","1",NA,"9","","","chondrocyte dedifferentiation core","2014-03-26","2014-03-27","","","","y CMM","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"98","G51",0.367312044945344,0.183259281371375,0.547810519312281,100,"chondrocyte","het","glass","static","Basal","4B",NA,"9","","","chondrocyte dedifferentiation core","2014-03-26","2014-03-27","","","","y CMM","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"99","G56",0.173789326300003,-0.165122850977505,0.639803174542863,105,"chondrocyte","het","glass","static","Basal","1",NA,"0","","","chondrocyte dedifferentiation core","2014-03-27","2014-03-28","","","","y CMM","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
