donor,passage,day,real,centerX,centerY,radiusMicrons,nNuclei,totalIntensity,areaPxSq,normalizedIntensity,normI-BG,totalI-BG
1,1,1,1,514.3759784,851.9119334,7.975174732,4,125863741,1951.328241,64501.57,92.57299864,180640.3066
1,1,1,1,194.9729327,1507.471397,9.885621962,1,193486759,2998.181452,64534.71,125.7061593,376889.8751
1,1,1,1,1584.813021,476.9500329,10.68505749,2,226161357,3502.705646,64567.62,158.6171024,555589.0202
1,1,1,1,1020.318459,718.0133588,8.73417598,1,151022723,2340.419953,64528.04,119.0445405,278614.218
1,1,1,1,298.8143161,1979.641933,12.84323585,5,326534506,5060.562952,64525.33,116.332275,588706.8008
1,1,1,1,1214.127508,70.72122669,10.68545072,1,226134387,3502.963464,64555.17,146.1657367,512013.2354
1,1,1,1,723.9022273,295.516521,9.599659762,1,181917150,2827.232975,64344.59,-64.40879788,-182098.6772
1,1,1,1,1540.478812,1601.747159,10.88119027,1,234443411,3632.475761,64540.94,131.9429882,479279.7066
1,1,1,1,286.691728,2010.113401,6.448027035,2,82182464,1275.568,64428.13,19.13243339,24404.71979
1,1,1,1,27.66670639,1668.729756,7.575193692,1,113323779,1760.505555,64370.02,-38.97932411,-68623.31664
1,1,1,1,116.7976028,1100.463755,9.761386312,1,188340752,2923.29684,64427.52,18.51534029,54125.83575
1,1,1,1,1722.520385,906.5535058,10.29688157,1,210104813,3252.829885,64591.39,182.392861,593292.949
1,1,1,1,1937.86045,713.1935763,9.771851372,1,189075139,2929.56826,64540.27,131.2742723,384576.9416
1,1,1,1,200.3173077,621.0413204,5.365295571,1,56686554,883.1555856,64186.37,-222.6268094,-196614.1103
1,1,1,1,2497.541879,1512.435144,6.512973883,1,83331496,1301.393368,64032.52,-376.4806887,-489949.4716
1,1,1,1,2059.863983,1865.47519,7.166993891,1,101418818,1575.883051,64356.82,-52.18245648,-82233.44874
1,1,1,1,360.7912749,1438.440095,9.545492099,1,180310840,2795.416737,64502.31,93.31109699,260843.4022
1,1,1,1,530.7407463,953.7872344,7.254562537,2,103980677,1614.627606,64399.17,-9.83044445,-15872.50699
1,1,1,1,1247.236968,1753.011918,8.629249831,1,146708953,2284.525455,64218.57,-190.4321199,-435047.0254
1,1,1,1,1011.573453,674.9091765,6.188281875,1,75484413,1174.870749,64249.12,-159.8789046,-187837.0484
1,1,1,1,1721.653407,386.0538077,7.510635749,2,111680186,1730.626367,64531.66,122.6563585,212272.328
1,1,1,1,520.3826326,1772.153059,9.737960566,1,187632859,2909.282799,64494.54,85.54109071,248863.2238
1,1,1,1,2432.360376,1132.646665,6.004200215,1,71600292,1106.01304,64737.29,328.2945707,363098.0763
1,1,1,1,1512.002506,500.6996354,10.86261672,3,233743954,3620.085502,64568.63,159.6279701,577866.9001
1,1,1,1,2127.861528,1035.419897,8.020611707,1,127214191,1973.626191,64457.08,48.08493565,94901.68838
