donor,media,day,real,centerX,centerY,radiusMicrons,nNuclei,totalIntensity,areaPxSq,normalizedIntensity,normI-BG,totalI-BG
1,0,21,0,0,0,0,1,0,0,64401,0,0
1,0,21,0,0,0,0,1,0,0,64401,0,0
1,0,21,0,0,0,0,1,0,0,64401,0,0
1,0,21,0,0,0,0,1,0,0,64401,0,0
1,0,21,0,0,0,0,1,0,0,64401,0,0
1,0,21,0,0,0,0,1,0,0,64401,0,0
1,0,21,0,0,0,0,1,0,0,64401,0,0
1,0,21,0,0,0,0,1,0,0,64401,0,0
1,0,21,0,0,0,0,1,0,0,64401,0,0
1,0,21,0,0,0,0,1,0,0,64401,0,0
1,0,21,0,0,0,0,1,0,0,64401,0,0
1,0,21,0,0,0,0,1,0,0,64401,0,0
1,0,21,0,0,0,0,1,0,0,64401,0,0
1,0,21,0,0,0,0,1,0,0,64401,0,0
1,0,21,0,0,0,0,1,0,0,64401,0,0
2,1,21,1,2181.375082,676.0918387,9.688600688,1,186437424,2879.864339,64738.26614,335.2661379,965520.9944
2,1,21,1,2224.880853,1832.690164,6.263074457,1,77915933,1203.441726,64744.25084,341.250841,410675.5011
2,1,21,1,222.7887038,2064.221202,14.01037433,2,389612176,6022.119847,64696.84861,293.8486052,1769591.517
2,1,21,1,2292.518363,2116.945538,7.838397875,1,121883370,1884.970357,64660.62958,257.6295815,485624.1242
2,1,21,1,1270.072945,2120.881844,10.6073114,3,223352669,3451.918657,64703.92012,300.9201163,1038751.764
2,1,21,1,1930.87387,2113.760173,8.141303424,2,131538930,2033.470134,64686.92498,283.9249802,577352.9675
2,1,21,1,2448.772295,1343.241488,9.058289876,1,162585417,2517.342715,64586.12729,183.1272926,460994.156
2,1,21,1,778.197153,299.6029308,9.507987891,3,179511954,2773.493523,64724.12953,321.1295286,890650.6674
2,1,21,1,2372.46724,69.99585933,6.702493413,1,88742333,1378.233201,64388.47425,-14.52574538,-20019.86456
2,1,21,1,2349.567624,1318.446652,11.61936981,1,267090954,4142.047398,64482.83381,79.83381305,330675.4376
2,1,21,1,1489.660179,363.5298286,6.19984045,1,75850391,1179.263733,64320.12522,-82.87477807,-97731.22018
2,1,21,1,1712.210558,2027.907056,8.326548084,2,137536428,2127.060804,64660.318,257.3180023,547331.0368
2,1,21,1,639.5857876,428.1566855,8.882217194,1,156242241,2420.430926,64551.41492,148.4149213,359228.0654
2,1,21,1,2230.46337,1598.785813,6.430651375,1,81824950,1268.702652,64494.97829,91.97829377,116693.1052
2,1,21,1,965.9451132,319.4064998,11.48689554,2,261687160,4048.13754,64643.84113,240.8411278,974958.0106
2,1,21,1,1716.112517,463.1508882,6.935940044,2,95232831,1475.912384,64524.71844,121.7184393,179645.7519
2,1,21,1,977.0058542,1018.595676,16.20631765,2,522278982,8057.839456,64816.25563,413.2556271,3329947.498
2,1,21,1,321.0860048,606.5926092,7.959902675,2,125335552,1943.862007,64477.59747,74.59747022,145007.1881
2,1,21,1,2385.618789,674.5421615,13.69881394,2,373554736,5757.260101,64884.11665,481.1166524,2769913.707
2,1,21,1,1245.380281,177.0677377,8.315446041,2,137255998,2121.392434,64700.89919,297.8991926,631961.0932
2,1,21,1,1590.147835,2091.704636,12.86971953,3,329294454,5081.454967,64803.18258,400.1825834,2033509.776
2,1,21,1,1955.38143,580.1067682,11.94093935,2,282770462,4374.48469,64640.8622,237.8621955,1040524.533
2,1,21,1,2069.188397,405.2595351,7.205687131,1,102958160,1592.944771,64633.85417,230.8541684,367737.9403
2,1,21,1,1790.630759,256.1502713,13.09445363,2,340831376,5260.471596,64791.03057,388.0305748,2041223.817
2,1,21,1,1064.561019,902.0670592,9.877927187,2,193737342,2993.515816,64718.99729,315.9972873,945942.8775
2,1,21,1,578.8336113,1247.814189,9.766808659,2,189332312,2926.545463,64694.81318,291.813182,854004.5437
2,1,21,1,206.9554764,1840.132118,6.524070348,1,84460367,1305.831638,64679.36947,276.3694721,360892.0005
2,1,21,1,465.4104729,1841.795652,6.590558258,1,86068664,1332.583166,64587.83674,184.8367411,246310.3297
2,1,21,1,2188.272827,1404.683168,6.420334649,1,81534020,1264.635145,64472.36604,69.36603664,87722.72784
2,1,21,1,2006.616253,870.2622086,5.455612231,1,58862238,913.1390273,64461.41961,58.41960866,53345.22463
2,1,21,1,595.1648276,300.6952896,7.33360966,1,106571483,1650.005899,64588.54666,185.546664,306153.0901
2,1,21,1,1721.852312,1523.628409,9.542102533,2,180590997,2793.431807,64648.43587,245.4358663,685608.3553
2,1,21,1,1100.520117,654.997757,12.51824044,2,310777275,4807.690413,64641.69867,238.6986712,1147589.313
2,1,21,1,1468.309917,1001.019975,6.397549015,1,80892787,1255.674746,64421.76786,18.76785631,23566.3232
2,1,21,1,326.3780357,2117.228229,5.727029686,1,64928723,1006.256699,64525.00944,122.0094409,122772.8172
2,1,21,1,2460.065466,675.5037014,7.094856552,1,99693864,1544.319496,64555.20652,152.2065235,235055.5017
2,1,21,1,1755.434353,1903.318871,8.894857672,2,157351100,2427.324965,64824.90078,421.9007771,1024090.289
2,1,21,1,838.8367584,1693.316878,7.113070504,1,100269899,1552.258844,64596.1203,193.1203013,299772.6955
2,1,21,1,2133.042858,1712.746777,17.18371984,2,586809538,9059.083918,64775.81435,372.8143461,3377356.447
2,1,21,1,1368.878606,691.2079957,7.297570926,1,105264293,1633.828868,64427.97961,24.97961411,40812.41464
2,1,21,1,1787.437258,1057.31409,10.44121551,1,216131481,3344.660457,64619.85716,216.8571618,725313.5741
2,1,21,1,365.0039746,1870.164956,7.977381472,2,126071875,1952.40826,64572.49621,169.4962131,330925.8066
2,1,21,1,1896.757805,812.4690789,7.584526547,1,114084110,1764.846214,64642.52188,239.521883,422719.2883
2,1,21,1,1486.528686,964.3739294,6.247151731,1,77068486,1197.330442,64366.93104,-36.0689592,-43186.46286
2,1,21,1,527.678613,1698.184763,7.096558665,1,99681050,1545.060574,64515.94952,112.94952,174513.8503
2,1,21,1,395.0538592,421.1282016,6.17889243,1,75963903,1171.308204,64853.89818,450.8981775,528140.7345
2,1,21,1,2509.328852,1545.969384,9.542572632,2,180723712,2793.707055,64689.5714,286.5714044,800596.5542
2,1,21,1,224.3686683,1241.080367,6.437189075,1,82041334,1271.283608,64534.24988,131.2498767,166855.8168
2,1,21,1,1870.425807,1535.510155,14.98244755,2,447156605,6886.767926,64929.82046,526.820464,3628090.274
2,1,21,1,970.2955066,1845.405336,13.2187249,3,346733240,5360.793083,64679.46713,276.4671311,1482083.084
2,1,21,1,1120.317498,1626.360993,11.96758782,2,284022297,4394.031463,64638.20284,235.2028442,1033488.697
2,1,21,1,158.64281,1096.321509,6.526690209,1,84181616,1306.880611,64414.15942,11.15942488,14584.036
2,1,21,1,418.7213553,590.3041608,7.894486267,2,123344984,1912.043037,64509.52287,106.5228733,203676.3181
2,1,21,1,556.8111479,1444.992003,8.995712528,2,160386693,2482.681756,64602.19583,199.1958278,494539.8475
2,1,21,1,1048.549052,547.4117261,14.5836962,1,422239964,6525.069372,64710.41761,307.4176147,2005921.262
2,1,21,1,635.8546249,1906.874889,9.975712646,3,197377008,3053.077139,64648.54932,245.5493229,749681.0241
2,1,21,1,2466.009779,220.9578007,8.042970019,1,128761319,1984.644915,64878.76901,475.7690122,944232.5508
2,1,21,1,979.8008216,1539.864179,8.096057287,1,130135789,2010.9305,64714.21514,311.2151357,625832.0084
2,1,21,1,442.4709504,1699.691544,10.58426278,1,222135674,3436.933614,64631.93619,228.9361897,786838.4856
2,1,21,1,536.0779226,132.7229795,18.81476862,3,702494454,10860.44648,64683.7545,280.7545014,3049119.237
2,1,21,1,1299.373181,732.7616894,7.328448922,1,106480141,1647.684463,64624.1094,221.1093989,364318.5213
2,1,21,1,872.8681037,1661.301741,6.282607525,1,78163261,1210.95994,64546.52911,143.5291057,173807.9972
2,1,21,1,2491.911188,160.7307092,10.28800743,2,209970186,3247.225542,64661.41119,258.4111911,839119.4202
2,1,21,1,2408.429454,2093.473157,8.53779186,1,144401709,2236.356532,64570.07501,167.0750128,373639.2962
2,1,21,1,1644.926391,1637.628024,5.889131983,1,68886150,1064.026615,64741.00277,338.0027671,359643.94
2,1,21,1,1188.405833,804.7929087,5.796364039,1,66505345,1030.768701,64520.14399,117.1439882,120748.3565
2,1,21,1,1736.64575,872.3829045,17.04312064,3,576394506,8911.445438,64680.24857,277.2485655,2470685.464
2,1,21,1,841.6757578,1238.949184,7.626637812,1,114903557,1784.498391,64389.83504,-13.16496128,-23492.85222
2,1,21,1,1814.267046,866.1103624,6.433106092,1,81895537,1269.671419,64501.36294,98.36294002,124888.6136
2,1,21,1,364.311382,827.114142,14.29195532,2,404974783,6266.617913,64624.13835,221.1383479,1385789.532
2,1,21,1,2138.861022,1878.809194,6.346243343,1,79514646,1235.615529,64352.25532,-50.74468331,-62700.91871
2,1,21,1,423.0778807,1739.805623,7.329416373,1,106327579,1648.119523,64514.48302,111.4830156,183737.3345
2,1,21,1,785.1123767,1060.747012,18.28249711,1,664455050,10254.65238,64795.47286,392.4728568,4024672.715
2,1,21,1,1133.142556,292.2024016,10.30006401,2,210480179,3254.840889,64666.8105,263.8104977,858661.1951
2,1,21,1,375.5206981,1814.614873,7.741156428,1,118714618,1838.491401,64571.75591,168.7559092,310256.288
2,1,21,1,2069.281747,1822.268725,9.119166235,1,164742086,2551.292082,64572.02103,169.0210306,431222.017
2,1,21,1,1884.712717,480.3520048,6.679944784,1,88520404,1368.975454,64661.79048,258.7904841,354277.8205
2,1,21,1,2321.3949,1162.037919,19.54868833,1,759063778,11724.25245,64743.04281,340.0428066,3986747.707
2,1,21,1,2181.266898,2023.01081,21.04553199,5,879370858,13588.44412,64714.60973,311.6097251,4234291.337
2,1,21,1,1855.483836,366.2053164,9.003930169,1,160581298,2487.21972,64562.57029,159.5702943,396886.3827
2,1,21,1,2251.616195,1021.200821,16.09446578,2,514038842,7946.99697,64683.40732,280.4073205,2228396.126
2,1,21,1,1350.038723,604.05041,10.08846597,2,202336857,3122.483719,64799.97181,396.9718136,1239538.025
2,1,21,1,365.7490104,78.97857279,14.99956522,2,446247713,6902.513386,64650.03225,247.0322518,1705143.425
2,1,21,1,523.1876641,684.7947728,14.11382418,2,395659888,6111.380469,64741.49172,338.4917167,2068651.667
2,1,21,1,938.5291129,770.8871575,13.65627776,3,369652066,5721.561872,64606.84587,203.8458699,1166316.757
2,1,21,1,1282.504537,1045.445878,7.582541662,1,114207778,1763.922608,64746.47895,343.4789534,605870.2913
